"attr_code";"area_code";"value";"ts_start";"ts"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"72.71";"2014-07-01";"1404172800000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"98.28";"2014-07-01";"1404172800000"
"Blochholz Buche Kl. B 3";"Österreich";"82.99";"2014-07-01";"1404172800000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"95.7";"2014-07-01";"1404172800000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"72.69";"2014-08-01";"1406851200000"
"Blochholz Buche Kl. B 3";"Österreich";"82.99";"2014-08-01";"1406851200000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"95.86";"2014-08-01";"1406851200000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"98.62";"2014-08-01";"1406851200000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"95.97";"2014-09-01";"1409529600000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"98.88";"2014-09-01";"1409529600000"
"Blochholz Buche Kl. B 3";"Österreich";"82.99";"2014-09-01";"1409529600000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"72.98";"2014-09-01";"1409529600000"
"Blochholz Buche Kl. B 3";"Österreich";"82.99";"2014-10-01";"1412121600000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"73.06";"2014-10-01";"1412121600000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"96.64";"2014-10-01";"1412121600000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"99.64";"2014-10-01";"1412121600000"
"Blochholz Buche Kl. B 3";"Österreich";"82.99";"2014-11-01";"1414800000000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"97.3";"2014-11-01";"1414800000000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"100.47";"2014-11-01";"1414800000000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"73.14";"2014-11-01";"1414800000000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"100.41";"2014-12-01";"1417392000000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"72.92";"2014-12-01";"1417392000000"
"Blochholz Buche Kl. B 3";"Österreich";"82.99";"2014-12-01";"1417392000000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"96.77";"2014-12-01";"1417392000000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"97.14";"2015-01-01";"1420070400000"
"Blochholz Buche Kl. B 3";"Österreich";"76.37";"2015-01-01";"1420070400000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"99.33";"2015-01-01";"1420070400000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"73.36";"2015-01-01";"1420070400000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"99.27";"2015-02-01";"1422748800000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"97.03";"2015-02-01";"1422748800000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"73.17";"2015-02-01";"1422748800000"
"Blochholz Buche Kl. B 3";"Österreich";"76.37";"2015-02-01";"1422748800000"
"Blochholz Buche Kl. B 3";"Österreich";"76.37";"2015-03-01";"1425168000000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"99.15";"2015-03-01";"1425168000000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"73.29";"2015-03-01";"1425168000000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"97.01";"2015-03-01";"1425168000000"
